"Benzene, 1-chloro-4-nitro-",C6H4ClNO2,100-00-5
p-Nitroaniline,C6H6N2O2,100-01-6
"Phenol, 4-nitro-",C6H5NO3,100-02-7
2H-Tetrazole,CH2N4,100043-29-6
"2,2,4,4',6,6'-Hexamethylazobenzene N,N'-dioxide",C18H22N2O2,100046-00-2
N-butyltrimethylsilane,C7H18Si,1000-49-3
N-Butyldimethylchlorosilane,C6H15ClSi,1000-50-6
"Cyclohexanol, 2-(9h-purin-9-yl)-, trans-",C11H14N4O,100057-61-2
"9H-purine, 9-cyclohex-2-enyl-6-hydrazino-",C11H14N6,100058-19-3
"Acetophenone, 4'-methoxy-",C9H10O2,100-06-1
"3-(2,2,2-Trichloro-1,1-dimethylethoxy)-2-benzofuran-1(3h)-one",C12H11Cl3O3,100062-58-6
"2-(2,4,5-Trichlorophenoxy)propyl 2,2-dichloropropanoate",C12H11Cl5O3,100062-67-7
Potassium silicate,K2O3Si,10006-28-7
1-Tert-butoxybutane,C8H18O,1000-63-1
4-Methoxybenzoic acid chloride,C8H7ClO2,100-07-2
(CH3)2C=CHC(CH3)=CH2,C7H12,1000-86-8
Gamma-methylene-gamma-butyrolactone,C5H6O2,10008-73-8
"2,3-Pentadiene, 2,4-dimethyl-",C7H12,1000-87-9
Sn(CHCH2)3(Cl),C6H9ClSn,10008-90-9
"Benzoic acid, 4-methoxy-",C8H8O3,100-09-4
"Carbanilic acid, 2-tert-butyl-, ethyl ester",C13H19NO2,100096-59-1
"1,7-Diazabicyclo[5.3.1]undecane",C9H18N2,100098-21-3
"1,8-Diazabicyclo[6.3.1]dodecane",C10H20N2,100098-22-4
"1,5-Diazatricyclo[4.2.2.2<sup>2,5</sup>]dodecane",C10H18N2,100098-23-5
"Benzaldehyde, 4-(dimethylamino)-",C9H11NO,100-10-7
"1H-Pyrazole, 3-methyl-5-(trifluoromethyl)-",C5H5F3N2,10010-93-2
"Benzene, 1-(bromomethyl)-4-nitro-",C7H6BrNO2,100-11-8
